PO_ID,PO_Date,Product_ID,Supplier_ID,Quantity,Unit_Cost_GBP,PO_Value_GBP,Received_Date,Status,Month,Purchase_Spend_GBP
PO00001,2025-09-15 00:00:00,P013,S02,74,8,592,2025-10-07 00:00:00,Open,2025-09,592
PO00002,2025-08-22 00:00:00,P014,S02,27,10,270,2025-09-02 00:00:00,Received,2025-08,270
PO00003,2025-12-02 00:00:00,P020,S07,187,38,7106,2025-12-26 00:00:00,Received,2025-12,7106
PO00004,2026-02-13 00:00:00,P019,S04,78,125,9750,2026-02-21 00:00:00,Open,2026-02,9750
PO00005,2025-01-24 00:00:00,P007,S06,147,115,16905,2025-02-04 00:00:00,Received,2025-01,16905
PO00006,2025-09-28 00:00:00,P004,S03,51,22,1122,2025-10-12 00:00:00,Received,2025-09,1122
PO00007,2025-04-05 00:00:00,P012,S06,112,78,8736,2025-04-24 00:00:00,Delayed,2025-04,8736
PO00008,2025-05-22 00:00:00,P014,S05,26,10,260,2025-06-07 00:00:00,Open,2025-05,260
PO00009,2025-03-22 00:00:00,P002,S05,21,18,378,2025-03-27 00:00:00,Received,2025-03,378
PO00010,2025-10-01 00:00:00,P001,S02,104,12,1248,2025-10-25 00:00:00,Delayed,2025-10,1248
PO00011,2025-10-03 00:00:00,P018,S08,153,62,9486,2025-10-25 00:00:00,Open,2025-10,9486
PO00012,2026-04-10 00:00:00,P020,S05,125,38,4750,2026-04-30 00:00:00,Received,2026-04,4750
PO00013,2025-07-27 00:00:00,P008,S03,55,185,10175,2025-08-05 00:00:00,Delayed,2025-07,10175
PO00014,2025-10-23 00:00:00,P003,S02,179,28,5012,2025-11-15 00:00:00,Received,2025-10,5012
PO00015,2025-02-08 00:00:00,P006,S07,64,32,2048,2025-02-16 00:00:00,Open,2025-02,2048
PO00016,2025-10-15 00:00:00,P013,S05,61,8,488,2025-10-25 00:00:00,Open,2025-10,488
PO00017,2025-05-04 00:00:00,P009,S08,72,58,4176,2025-05-25 00:00:00,Received,2025-05,4176
PO00018,2025-10-10 00:00:00,P009,S07,129,58,7482,2025-10-21 00:00:00,Received,2025-10,7482
PO00019,2025-06-29 00:00:00,P020,S01,28,38,1064,2025-07-10 00:00:00,Delayed,2025-06,1064
PO00020,2025-04-07 00:00:00,P009,S01,106,58,6148,2025-04-20 00:00:00,Received,2025-04,6148
