Order_ID,Order_Date,Product_ID,Quantity,Customer_Type,Sales_Channel,Revenue_GBP,COGS_GBP,Gross_Profit_GBP
O00001,2025-07-09 00:00:00,P017,1,Retail,Online,139,95,44
O00002,2025-09-01 00:00:00,P009,4,Retail,Direct,356,232,124
O00003,2026-05-20 00:00:00,P017,25,Business,Online,3475,2375,1100
O00004,2025-05-11 00:00:00,P008,20,Retail,Distributor,5180,3700,1480
O00005,2026-04-30 00:00:00,P002,2,Retail,Online,64,36,28
O00006,2025-01-21 00:00:00,P013,26,Business,Online,390,208,182
O00007,2025-06-16 00:00:00,P003,30,Retail,Direct,1470,840,630
O00008,2025-10-01 00:00:00,P016,30,Retail,Online,2370,1440,930
O00009,2026-01-23 00:00:00,P006,5,Retail,Distributor,275,160,115
O00010,2025-11-12 00:00:00,P019,3,Retail,Online,537,375,162
O00011,2025-01-14 00:00:00,P007,29,Retail,Online,4901,3335,1566
O00012,2025-08-30 00:00:00,P010,28,Retail,Online,4172,2940,1232
O00013,2025-12-12 00:00:00,P009,29,Retail,Online,2581,1682,899
O00014,2025-12-06 00:00:00,P002,9,Retail,Direct,288,162,126
O00015,2025-04-02 00:00:00,P015,20,Business,Direct,840,500,340
O00016,2026-01-02 00:00:00,P005,6,Wholesale,Online,354,210,144
O00017,2026-03-31 00:00:00,P004,18,Business,Online,702,396,306
O00018,2026-03-04 00:00:00,P020,6,Wholesale,Direct,390,228,162
O00019,2026-05-24 00:00:00,P004,19,Retail,Distributor,741,418,323
O00020,2025-02-04 00:00:00,P018,28,Wholesale,Online,2660,1736,924
O00021,2025-07-25 00:00:00,P004,12,Retail,Online,468,264,204
O00022,2025-03-22 00:00:00,P017,25,Wholesale,Online,3475,2375,1100
O00023,2026-01-23 00:00:00,P012,11,Wholesale,Distributor,1309,858,451
O00024,2025-01-02 00:00:00,P017,2,Business,Online,278,190,88
O00025,2026-01-25 00:00:00,P010,15,Wholesale,Online,2235,1575,660
O00026,2025-04-16 00:00:00,P001,12,Business,Direct,264,144,120
O00027,2026-04-22 00:00:00,P018,12,Retail,Online,1140,744,396
O00028,2026-02-06 00:00:00,P018,9,Retail,Online,855,558,297
O00029,2025-06-11 00:00:00,P014,21,Business,Online,378,210,168
O00030,2025-07-21 00:00:00,P015,24,Retail,Online,1008,600,408
O00031,2025-09-27 00:00:00,P012,2,Business,Online,238,156,82
O00032,2025-09-28 00:00:00,P004,22,Wholesale,Online,858,484,374
O00033,2026-04-01 00:00:00,P003,3,Retail,Online,147,84,63
O00034,2026-04-07 00:00:00,P020,12,Business,Direct,780,456,324
O00035,2025-09-09 00:00:00,P012,28,Wholesale,Direct,3332,2184,1148
O00036,2025-10-23 00:00:00,P007,30,Wholesale,Direct,5070,3450,1620
O00037,2025-12-04 00:00:00,P011,26,Wholesale,Online,1794,1092,702
O00038,2025-02-22 00:00:00,P001,16,Retail,Online,352,192,160
O00039,2025-08-05 00:00:00,P006,21,Wholesale,Online,1155,672,483
O00040,2025-07-07 00:00:00,P015,28,Business,Online,1176,700,476
O00041,2026-01-15 00:00:00,P015,24,Retail,Online,1008,600,408
O00042,2026-05-08 00:00:00,P019,26,Retail,Direct,4654,3250,1404
O00043,2025-02-10 00:00:00,P011,30,Business,Online,2070,1260,810
O00044,2025-06-06 00:00:00,P002,1,Retail,Online,32,18,14
O00045,2025-01-15 00:00:00,P014,21,Business,Online,378,210,168
O00046,2025-03-06 00:00:00,P002,3,Business,Direct,96,54,42
O00047,2026-06-05 00:00:00,P004,20,Retail,Online,780,440,340
O00048,2025-12-10 00:00:00,P017,2,Business,Direct,278,190,88
O00049,2025-05-09 00:00:00,P003,9,Business,Online,441,252,189
O00050,2026-04-17 00:00:00,P013,19,Retail,Distributor,285,152,133
O00051,2025-03-04 00:00:00,P009,15,Retail,Distributor,1335,870,465
O00052,2025-05-19 00:00:00,P007,18,Retail,Online,3042,2070,972
O00053,2026-05-14 00:00:00,P015,26,Retail,Online,1092,650,442
O00054,2026-01-27 00:00:00,P011,11,Wholesale,Online,759,462,297
O00055,2026-02-23 00:00:00,P020,25,Retail,Online,1625,950,675
O00056,2025-10-16 00:00:00,P002,23,Business,Direct,736,414,322
O00057,2026-01-14 00:00:00,P015,16,Retail,Direct,672,400,272
O00058,2026-05-05 00:00:00,P014,22,Retail,Direct,396,220,176
O00059,2025-08-19 00:00:00,P020,17,Business,Direct,1105,646,459
O00060,2025-02-10 00:00:00,P011,5,Business,Online,345,210,135
O00061,2025-01-28 00:00:00,P003,12,Retail,Online,588,336,252
O00062,2025-05-15 00:00:00,P017,11,Retail,Direct,1529,1045,484
O00063,2025-07-20 00:00:00,P012,30,Retail,Online,3570,2340,1230
O00064,2025-02-02 00:00:00,P015,15,Retail,Direct,630,375,255
O00065,2025-02-17 00:00:00,P016,27,Business,Online,2133,1296,837
O00066,2026-05-18 00:00:00,P005,3,Retail,Online,177,105,72
O00067,2026-02-11 00:00:00,P020,1,Retail,Distributor,65,38,27
O00068,2025-04-09 00:00:00,P006,20,Retail,Online,1100,640,460
O00069,2026-04-07 00:00:00,P019,29,Wholesale,Distributor,5191,3625,1566
O00070,2025-01-05 00:00:00,P005,16,Wholesale,Distributor,944,560,384
O00071,2025-08-06 00:00:00,P003,2,Retail,Direct,98,56,42
O00072,2026-05-18 00:00:00,P001,2,Business,Direct,44,24,20
O00073,2026-02-02 00:00:00,P006,3,Retail,Direct,165,96,69
O00074,2026-01-28 00:00:00,P015,8,Retail,Distributor,336,200,136
O00075,2025-07-26 00:00:00,P002,24,Business,Online,768,432,336
O00076,2025-01-15 00:00:00,P003,28,Wholesale,Online,1372,784,588
O00077,2026-04-06 00:00:00,P017,15,Wholesale,Direct,2085,1425,660
O00078,2025-08-29 00:00:00,P012,7,Business,Online,833,546,287
O00079,2025-04-06 00:00:00,P018,6,Retail,Online,570,372,198
