PO_ID,PO_Date,Product_ID,Supplier_ID,Quantity,Unit_Cost_GBP,PO_Value_GBP,Received_Date,Status
PO00001,2025-09-15 00:00:00,P013,S02,74,8,592,2025-10-07 00:00:00,Open
PO00002,2025-08-22 00:00:00,P014,S02,27,10,270,2025-09-02 00:00:00,Received
PO00003,2025-12-02 00:00:00,P020,S07,187,38,7106,2025-12-26 00:00:00,Received
PO00004,2026-02-13 00:00:00,P019,S04,78,125,9750,2026-02-21 00:00:00,Open
PO00005,2025-01-24 00:00:00,P007,S06,147,115,16905,2025-02-04 00:00:00,Received
PO00006,2025-09-28 00:00:00,P004,S03,51,22,1122,2025-10-12 00:00:00,Received
PO00007,2025-04-05 00:00:00,P012,S06,112,78,8736,2025-04-24 00:00:00,Delayed
PO00008,2025-05-22 00:00:00,P014,S05,26,10,260,2025-06-07 00:00:00,Open
PO00009,2025-03-22 00:00:00,P002,S05,21,18,378,2025-03-27 00:00:00,Received
PO00010,2025-10-01 00:00:00,P001,S02,104,12,1248,2025-10-25 00:00:00,Delayed
PO00011,2025-10-03 00:00:00,P018,S08,153,62,9486,2025-10-25 00:00:00,Open
PO00012,2026-04-10 00:00:00,P020,S05,125,38,4750,2026-04-30 00:00:00,Received
PO00013,2025-07-27 00:00:00,P008,S03,55,185,10175,2025-08-05 00:00:00,Delayed
PO00014,2025-10-23 00:00:00,P003,S02,179,28,5012,2025-11-15 00:00:00,Received
PO00015,2025-02-08 00:00:00,P006,S07,64,32,2048,2025-02-16 00:00:00,Open
PO00016,2025-10-15 00:00:00,P013,S05,61,8,488,2025-10-25 00:00:00,Open
PO00017,2025-05-04 00:00:00,P009,S08,72,58,4176,2025-05-25 00:00:00,Received
PO00018,2025-10-10 00:00:00,P009,S07,129,58,7482,2025-10-21 00:00:00,Received
PO00019,2025-06-29 00:00:00,P020,S01,28,38,1064,2025-07-10 00:00:00,Delayed
PO00020,2025-04-07 00:00:00,P009,S01,106,58,6148,2025-04-20 00:00:00,Received
PO00021,2025-07-10 00:00:00,P015,S01,133,25,3325,2025-07-27 00:00:00,Open
PO00022,2025-03-15 00:00:00,P013,S07,94,8,752,2025-04-08 00:00:00,Delayed
PO00023,2026-03-23 00:00:00,P016,S01,196,48,9408,2026-04-10 00:00:00,Delayed
PO00024,2026-05-12 00:00:00,P002,S06,149,18,2682,2026-06-01 00:00:00,Received
PO00025,2026-04-29 00:00:00,P014,S01,30,10,300,2026-05-12 00:00:00,Open
PO00026,2025-04-26 00:00:00,P006,S02,69,32,2208,2025-05-15 00:00:00,Received
PO00027,2026-06-19 00:00:00,P002,S04,182,18,3276,2026-06-28 00:00:00,Received
PO00028,2025-04-08 00:00:00,P008,S06,141,185,26085,2025-04-30 00:00:00,Received
PO00029,2025-11-24 00:00:00,P004,S08,162,22,3564,2025-12-18 00:00:00,Received
PO00030,2026-02-11 00:00:00,P014,S04,94,10,940,2026-02-23 00:00:00,Received
PO00031,2025-11-09 00:00:00,P011,S02,50,42,2100,2025-11-28 00:00:00,Received
PO00032,2025-05-28 00:00:00,P014,S08,111,10,1110,2025-06-10 00:00:00,Delayed
PO00033,2025-12-08 00:00:00,P012,S02,175,78,13650,2025-12-31 00:00:00,Received
PO00034,2026-05-10 00:00:00,P016,S03,172,48,8256,2026-05-20 00:00:00,Received
PO00035,2025-01-23 00:00:00,P006,S08,111,32,3552,2025-01-31 00:00:00,Received
PO00036,2025-04-15 00:00:00,P020,S06,172,38,6536,2025-04-30 00:00:00,Delayed
PO00037,2025-08-10 00:00:00,P001,S04,94,12,1128,2025-08-24 00:00:00,Received
PO00038,2025-01-15 00:00:00,P012,S01,111,78,8658,2025-01-22 00:00:00,Received
PO00039,2025-03-19 00:00:00,P007,S02,148,115,17020,2025-03-24 00:00:00,Open
PO00040,2025-11-18 00:00:00,P008,S01,61,185,11285,2025-12-04 00:00:00,Delayed
PO00041,2025-08-29 00:00:00,P009,S08,129,58,7482,2025-09-17 00:00:00,Open
PO00042,2025-01-18 00:00:00,P002,S04,181,18,3258,2025-02-06 00:00:00,Open
PO00043,2026-03-30 00:00:00,P017,S07,37,95,3515,2026-04-17 00:00:00,Received
PO00044,2026-03-19 00:00:00,P020,S06,96,38,3648,2026-03-30 00:00:00,Delayed
PO00045,2025-10-04 00:00:00,P013,S05,152,8,1216,2025-10-25 00:00:00,Open
PO00046,2026-02-28 00:00:00,P005,S07,39,35,1365,2026-03-23 00:00:00,Delayed
PO00047,2026-04-21 00:00:00,P010,S08,146,105,15330,2026-05-02 00:00:00,Received
PO00048,2025-01-27 00:00:00,P012,S08,94,78,7332,2025-02-03 00:00:00,Open
PO00049,2026-05-29 00:00:00,P017,S07,81,95,7695,2026-06-05 00:00:00,Open
PO00050,2026-04-09 00:00:00,P006,S05,51,32,1632,2026-05-01 00:00:00,Delayed
PO00051,2025-12-29 00:00:00,P003,S08,197,28,5516,2026-01-22 00:00:00,Received
PO00052,2026-01-18 00:00:00,P015,S08,185,25,4625,2026-02-05 00:00:00,Open
PO00053,2026-06-09 00:00:00,P007,S02,47,115,5405,2026-06-16 00:00:00,Received
PO00054,2026-01-17 00:00:00,P006,S03,93,32,2976,2026-01-28 00:00:00,Delayed
PO00055,2025-07-03 00:00:00,P004,S08,100,22,2200,2025-07-14 00:00:00,Delayed
PO00056,2025-07-13 00:00:00,P019,S01,41,125,5125,2025-07-22 00:00:00,Open
PO00057,2026-04-07 00:00:00,P005,S02,190,35,6650,2026-04-14 00:00:00,Received
PO00058,2025-02-25 00:00:00,P003,S03,183,28,5124,2025-03-19 00:00:00,Open
PO00059,2025-08-18 00:00:00,P009,S01,115,58,6670,2025-09-06 00:00:00,Received
PO00060,2026-05-04 00:00:00,P006,S04,141,32,4512,2026-05-28 00:00:00,Open
PO00061,2025-01-28 00:00:00,P013,S07,142,8,1136,2025-02-15 00:00:00,Received
PO00062,2025-07-03 00:00:00,P020,S07,71,38,2698,2025-07-11 00:00:00,Received
