Shipment_ID,Shipment_Date,Product_ID,Quantity,Warehouse,Carrier,Promised_Days,Actual_Days,On_Time,Transport_Cost_GBP,Month
SH00001,2025-05-24 00:00:00,P003,17,London,DHL,6,4,Yes,15.55,2025-05
SH00002,2025-07-08 00:00:00,P009,35,London,Evri,4,4,Yes,24.78,2025-07
SH00003,2025-09-12 00:00:00,P002,33,Manchester,Royal Mail,5,4,Yes,23.14,2025-09
SH00004,2025-03-09 00:00:00,P003,32,London,Evri,5,5,Yes,27.61,2025-03
SH00005,2025-12-02 00:00:00,P014,31,London,Royal Mail,6,10,No,27.55,2025-12
SH00006,2026-02-13 00:00:00,P004,19,London,Evri,3,2,Yes,13.04,2026-02
SH00007,2025-10-27 00:00:00,P019,35,Birmingham,Royal Mail,2,2,Yes,25.87,2025-10
SH00008,2025-12-23 00:00:00,P013,44,London,DPD,3,1,Yes,27.05,2025-12
SH00009,2025-09-13 00:00:00,P007,19,Birmingham,DHL,3,2,Yes,13.88,2025-09
SH00010,2025-12-19 00:00:00,P012,37,London,DPD,3,3,Yes,26.89,2025-12
SH00011,2026-06-05 00:00:00,P003,24,London,DPD,3,1,Yes,16.03,2026-06
SH00012,2026-06-08 00:00:00,P009,46,Birmingham,DHL,7,9,No,31.22,2026-06
SH00013,2025-10-11 00:00:00,P002,16,London,Evri,2,2,Yes,18.65,2025-10
SH00014,2025-11-08 00:00:00,P009,41,Manchester,DPD,7,8,No,29.79,2025-11
SH00015,2025-04-09 00:00:00,P012,13,London,Evri,4,7,No,15.95,2025-04
SH00016,2025-07-16 00:00:00,P012,27,London,Evri,3,4,No,20,2025-07
SH00017,2026-04-27 00:00:00,P015,12,London,Royal Mail,5,4,Yes,17.58,2026-04
SH00018,2025-08-14 00:00:00,P002,36,London,Evri,6,4,Yes,21.59,2025-08
SH00019,2025-12-31 00:00:00,P018,18,Manchester,DPD,6,9,No,23.12,2025-12
SH00020,2026-01-03 00:00:00,P013,31,Manchester,Evri,7,10,No,29.41,2026-01
SH00021,2025-03-16 00:00:00,P014,29,London,DPD,7,11,No,26.8,2025-03
SH00022,2025-02-11 00:00:00,P005,17,Birmingham,DPD,5,6,No,20.9,2025-02
SH00023,2026-02-26 00:00:00,P010,25,Birmingham,DPD,3,1,Yes,20.72,2026-02
SH00024,2025-06-30 00:00:00,P012,49,London,DPD,2,6,No,30.33,2025-06
SH00025,2026-06-29 00:00:00,P010,35,London,Royal Mail,4,4,Yes,22.91,2026-06
SH00026,2025-03-12 00:00:00,P011,41,Manchester,DPD,6,7,No,26.66,2025-03
SH00027,2025-04-15 00:00:00,P002,47,Manchester,DPD,4,8,No,32.48,2025-04
SH00028,2025-07-19 00:00:00,P005,9,Manchester,Evri,2,2,Yes,15.99,2025-07
SH00029,2025-04-11 00:00:00,P007,17,Manchester,Royal Mail,7,7,Yes,18.85,2025-04
SH00030,2025-11-03 00:00:00,P006,32,Birmingham,DPD,6,6,Yes,23.77,2025-11
SH00031,2026-01-12 00:00:00,P003,47,London,Royal Mail,4,6,No,29.1,2026-01
SH00032,2026-02-03 00:00:00,P013,29,London,Royal Mail,7,7,Yes,24.94,2026-02
SH00033,2025-08-09 00:00:00,P003,39,London,Evri,2,2,Yes,21.28,2025-08
SH00034,2025-07-01 00:00:00,P006,43,Birmingham,DPD,4,6,No,31.03,2025-07
SH00035,2025-11-03 00:00:00,P011,11,Manchester,DHL,3,7,No,16.51,2025-11
SH00036,2026-06-06 00:00:00,P017,42,Manchester,DPD,7,7,Yes,30.64,2026-06
SH00037,2026-01-31 00:00:00,P010,36,Manchester,DPD,2,2,Yes,22.51,2026-01
SH00038,2025-01-04 00:00:00,P012,7,Manchester,Evri,4,5,No,15.64,2025-01
SH00039,2025-10-08 00:00:00,P017,49,Manchester,DPD,3,4,No,26.19,2025-10
SH00040,2025-08-03 00:00:00,P004,43,London,Evri,3,5,No,29.43,2025-08
SH00041,2026-02-24 00:00:00,P002,41,Manchester,DPD,2,1,Yes,20.76,2026-02
SH00042,2025-04-11 00:00:00,P011,26,Birmingham,Evri,5,5,Yes,18.51,2025-04
SH00043,2026-06-05 00:00:00,P007,12,London,DHL,6,10,No,21.57,2026-06
SH00044,2025-11-05 00:00:00,P002,21,Manchester,Evri,2,3,No,19.72,2025-11
SH00045,2026-05-25 00:00:00,P018,31,Manchester,Evri,3,4,No,18.85,2026-05
SH00046,2025-03-04 00:00:00,P004,37,London,Evri,3,3,Yes,20.21,2025-03
SH00047,2025-08-14 00:00:00,P008,50,London,DHL,2,2,Yes,29.72,2025-08
SH00048,2025-04-15 00:00:00,P020,21,Birmingham,DHL,5,5,Yes,22.32,2025-04
SH00049,2026-03-01 00:00:00,P014,46,Birmingham,Royal Mail,6,4,Yes,25.66,2026-03
SH00050,2025-09-12 00:00:00,P012,16,Manchester,DHL,4,4,Yes,18.12,2025-09
SH00051,2026-03-05 00:00:00,P018,50,London,DHL,2,2,Yes,26.85,2026-03
SH00052,2026-03-10 00:00:00,P011,31,London,DHL,6,6,Yes,25.31,2026-03
SH00053,2025-07-26 00:00:00,P008,12,London,DPD,6,10,No,24.1,2025-07
SH00054,2025-01-28 00:00:00,P002,27,London,DPD,7,7,Yes,20.39,2025-01
SH00055,2025-12-02 00:00:00,P015,46,London,DHL,3,3,Yes,29.02,2025-12
